feature,corpus_a,corpus_b,ks,p_value
heuristic_confidence,detect_secrets,secretbench,0.0,1.0
heuristic_confidence,detect_secrets,synthetic,0.016129032258064516,0.9999989232062134
heuristic_confidence,gitleaks,nemotron,0.02358974358974359,0.9981204340925615
heuristic_confidence,gitleaks,secretbench,0.0,1.0
heuristic_confidence,gitleaks,synthetic,0.016129032258064516,0.9999989232062134
heuristic_confidence,nemotron,secretbench,0.02358974358974359,0.9981204340925615
heuristic_confidence,nemotron,synthetic,0.015525227460711331,0.9112185994651401
heuristic_confidence,secretbench,synthetic,0.016129032258064516,0.9999989232062134
secret_scanner_confidence,ai4privacy,detect_secrets,0.5,2.5165319401011584e-55
secret_scanner_confidence,ai4privacy,gitleaks,0.9533333333333334,1.500416470557458e-258
secret_scanner_confidence,ai4privacy,nemotron,0.0,1.0
secret_scanner_confidence,ai4privacy,secretbench,1.0,1e-323
secret_scanner_confidence,ai4privacy,synthetic,0.0,1.0
secret_scanner_confidence,detect_secrets,gitleaks,0.4533333333333333,3.7426231712855422e-28
secret_scanner_confidence,detect_secrets,nemotron,0.5,3.935365737827506e-60
secret_scanner_confidence,detect_secrets,secretbench,0.5133333333333333,2.194013320306139e-36
secret_scanner_confidence,detect_secrets,synthetic,0.5,2.1543002004567615e-64
secret_scanner_confidence,gitleaks,nemotron,0.9533333333333334,1.0758447257508135e-291
secret_scanner_confidence,gitleaks,secretbench,0.5066666666666667,2.0740263259827226e-35
secret_scanner_confidence,gitleaks,synthetic,0.9533333333333334,3.2e-322
secret_scanner_confidence,nemotron,secretbench,1.0,1e-323
secret_scanner_confidence,nemotron,synthetic,0.0,1.0
secret_scanner_confidence,secretbench,synthetic,1.0,1e-323
engines_agreed,ai4privacy,detect_secrets,0.38666666666666666,1.4596321657281955e-32
engines_agreed,ai4privacy,gitleaks,0.14833333333333334,4.72088944977694e-05
engines_agreed,ai4privacy,nemotron,0.08858974358974359,1.5955402288150558e-05
engines_agreed,ai4privacy,secretbench,0.11333333333333333,0.003980703088751957
engines_agreed,ai4privacy,synthetic,0.11693548387096774,2.897681237504664e-11
engines_agreed,detect_secrets,gitleaks,0.5,1.8916976044931988e-34
engines_agreed,detect_secrets,nemotron,0.42102564102564105,4.622566748464357e-42
engines_agreed,detect_secrets,secretbench,0.5,1.8916976044931988e-34
engines_agreed,detect_secrets,synthetic,0.4838709677419355,4.2926718424834586e-60
engines_agreed,gitleaks,nemotron,0.12666666666666668,0.0004319118077913369
engines_agreed,gitleaks,secretbench,0.11666666666666667,0.033619141621670706
engines_agreed,gitleaks,synthetic,0.12666666666666668,0.00024247575699603234
engines_agreed,nemotron,secretbench,0.07897435897435898,0.07427759521702035
engines_agreed,nemotron,synthetic,0.06284532671629446,7.708435664167101e-05
engines_agreed,secretbench,synthetic,0.05193548387096774,0.4275472022214145
engines_fired,ai4privacy,detect_secrets,0.38666666666666666,1.4596321657281955e-32
engines_fired,ai4privacy,gitleaks,0.5166666666666667,2.846341421462574e-59
engines_fired,ai4privacy,nemotron,0.035897435897435895,0.2861335828961159
engines_fired,ai4privacy,secretbench,0.5666666666666667,4.0379227890583423e-72
engines_fired,ai4privacy,synthetic,0.09720430107526881,6.480907409914331e-08
engines_fired,detect_secrets,gitleaks,0.5,1.8916976044931988e-34
engines_fired,detect_secrets,nemotron,0.42102564102564105,4.622566748464357e-42
engines_fired,detect_secrets,secretbench,0.5,1.8916976044931988e-34
engines_fired,detect_secrets,synthetic,0.4838709677419355,4.2926718424834586e-60
engines_fired,gitleaks,nemotron,0.4807692307692308,2.2101609632803132e-55
engines_fired,gitleaks,secretbench,0.05,0.8483422371364409
engines_fired,gitleaks,synthetic,0.45,1.2362952094607615e-51
engines_fired,nemotron,secretbench,0.5307692307692308,3.1671181566706443e-68
engines_fired,nemotron,synthetic,0.06284532671629446,7.708435664167101e-05
engines_fired,secretbench,synthetic,0.5,2.1543002004567615e-64
confidence_gap,ai4privacy,detect_secrets,0.6925,4.343277449311527e-112
confidence_gap,ai4privacy,gitleaks,0.5558333333333333,3.3307015156647296e-69
confidence_gap,ai4privacy,nemotron,0.18980769230769232,7.174702724224767e-24
confidence_gap,ai4privacy,secretbench,0.39916666666666667,9.650350494366134e-35
confidence_gap,ai4privacy,synthetic,0.17486559139784946,1.03721925809545e-24
confidence_gap,detect_secrets,gitleaks,0.49,4.876145056422302e-33
confidence_gap,detect_secrets,nemotron,0.8035897435897436,6.883870010052278e-175
confidence_gap,detect_secrets,secretbench,0.5133333333333333,2.194013320306139e-36
confidence_gap,detect_secrets,synthetic,0.8140322580645162,4.7588079154441785e-196
confidence_gap,gitleaks,nemotron,0.6792307692307692,4.2981425110682104e-117
confidence_gap,gitleaks,secretbench,0.20333333333333334,7.686752727943917e-06
confidence_gap,gitleaks,synthetic,0.6654301075268817,3.485652822559362e-120
confidence_gap,nemotron,secretbench,0.588974358974359,2.5574009185251504e-85
confidence_gap,nemotron,synthetic,0.08787841191066997,4.7569147842876415e-09
confidence_gap,secretbench,synthetic,0.5199462365591397,5.815705892201627e-70
regex_match_ratio,ai4privacy,detect_secrets,0.25,1.216722398658735e-13
regex_match_ratio,ai4privacy,gitleaks,0.5583333333333333,7.181322202222873e-70
regex_match_ratio,ai4privacy,nemotron,0.31666666666666665,2.315714743894267e-66
